comm_area_num,community,SAFETY,S_SEX_FEMALE,TRUST,T_SEX_FEMALE,T_LISTEN,T_LISTEN_SEX_FEMALE,T_RESPECT,T_RESPECT_SEX_FEMALE
35,DOUGLAS,51.78882392658903,51.36059700839698,58.766817068822455,58.85166256116118,55.788181319982655,55.70254957129499,61.74496720132883,62.00001510708236
36,OAKLAND,51.19770833333333,49.86708333333333,54.281666666666666,54.00083333333333,51.28625,50.709375,57.276666666666664,57.29229166666667
37,FULLER PARK,49.21280186016734,48.36157775563498,59.135521663042404,59.99091394768407,56.61172125329574,57.512458522946886,61.659391942918305,62.47082898284619
38,GRAND BOULEVARD,51.19770833333333,49.86708333333333,54.281666666666666,54.00083333333333,51.28625,50.709375,57.276666666666664,57.29229166666667
39,KENWOOD,51.19770833333333,49.86708333333333,54.281666666666666,54.00083333333333,51.28625,50.709375,57.276666666666664,57.29229166666667
4,LINCOLN SQUARE,64.40515714552372,64.89690135908347,61.29694546524927,61.320723546468486,58.761472518044926,58.89688999060378,63.83499968072928,63.74450765719807
40,WASHINGTON PARK,50.67611552871763,49.664410131697856,53.484779776111246,53.14689768972496,50.60281300328672,50.02517264333864,56.36644762995343,56.26882879455884
41,HYDE PARK,50.68688727036739,49.668596110322206,53.5012364326821,53.164532408413166,50.616926855919885,50.03930229218677,56.38524465894637,56.28996432794569
42,WOODLAWN,47.675575147522615,48.49850097957378,48.90057018764317,48.234506905886036,46.67124048130587,46.08919730328334,51.130278335611024,50.381207947976264
1,ROGERS PARK,59.973125,58.92541666666667,63.13645833333334,64.78479166666666,60.90479166666666,62.95229166666667,65.36708333333333,66.61583333333333
11,JEFFERSON PARK,63.5705,65.258,77.57066666666667,77.7055,75.882,76.05300000000001,79.25966666666666,79.35816666666666
12,FOREST GLEN,63.14520853495039,64.75395160761475,74.3241719335386,75.01940572522395,72.39750554856721,73.19794894917062,76.25155482100446,76.84078062575682
13,NORTH PARK,61.85955865471962,63.230028831000304,64.50817340212635,66.89749999375225,61.86193425813698,64.56520588222267,67.15628753547686,69.22896081675187
14,ALBANY PARK,61.85942921646495,63.23003196052592,64.50847377707653,66.89800596421344,61.86222824681914,64.56571402789235,67.15659431789273,69.22946458493092
15,PORTAGE PARK,63.42762792704314,65.08869556584551,76.4903539893541,76.81119558881173,74.72250193202345,75.10244727990737,78.25866627706458,78.52002830854131
16,IRVING PARK,61.8588340153508,63.229205560317865,64.5091597158014,66.8982283016583,61.86304528377538,64.56601292468913,67.1571486180815,69.22961071345846
17,DUNNING,63.32401764682691,64.96942305324691,77.11348236348967,77.26205774634653,75.39302048260977,75.58225716791158,78.83424775638606,78.9420520170392
18,MONTCLARE,56.22346887104214,56.656246623024344,63.94319063313306,64.48763504512607,61.306801901385185,62.02138519212603,66.57902380935846,66.9548571202904
19,BELMONT CRAGIN,56.22347222222223,56.65625,63.943194444444444,64.48763888888888,61.306805555555556,62.021388888888886,66.57902777777777,66.95486111111111
2,WEST RIDGE,60.65227537058404,59.83756794594911,62.805324856929005,64.18123005172836,60.508052241806055,62.24409148079258,65.10212604321896,66.1171098720283
20,HERMOSA,56.22347222222223,56.65625,63.943194444444444,64.48763888888888,61.306805555555556,62.021388888888886,66.57902777777777,66.95486111111111
21,AVONDALE,60.55846995792474,60.48519911870274,61.704662197185186,63.01908756688152,59.173223122746805,60.90989878396182,64.23715828758404,65.12897294192445
22,LOGAN SQUARE,60.580249386303706,59.00808971967874,58.43416086941731,58.96099317563074,56.0404028976059,57.1632758778604,60.82867079610417,60.76076275914162
23,HUMBOLDT PARK,51.37530969099711,51.20501182030266,54.672014054999586,54.37335485177218,52.4106978358556,52.39692445266785,56.93334737115591,56.34926392618618
24,WEST TOWN,55.76362968435686,54.95702617707221,57.524515355931,56.51628489744273,54.87764306121064,54.42248881050945,60.172551650280525,58.61090372639367
25,AUSTIN,53.40062533944665,53.90247442381351,58.79273571548839,59.38196350232586,56.63802532527944,57.15473303048132,60.947552612556144,61.60881438405566
26,WEST GARFIELD PARK,46.206250000000004,46.1175,48.381458333333335,47.83583333333333,46.477291666666666,46.139375,50.28541666666666,49.53020833333333
27,EAST GARFIELD PARK,47.264418580823886,47.20092803868776,50.1828962714132,49.34133474150362,48.094335676425445,47.508395244224616,52.27152919367577,51.1725517548838
28,NEAR WEST SIDE,51.56723641240455,51.77768423083455,58.62556740645225,57.04224063272555,55.804294390674315,54.614009807932355,61.44774910732122,59.46989895519499
29,NORTH LAWNDALE,47.0356020916688,46.493536221000056,52.73815291544733,53.0881200331077,50.5731744608252,51.26660317244939,54.902923036745435,54.90945100140137
3,UPTOWN,63.41574711583554,63.603286011119685,62.37881995800882,63.08533307878921,60.170864514286315,60.984679145216944,64.58834242043396,65.18584537768115
30,SOUTH LAWNDALE,47.51401493187373,46.90647571827362,54.50490624348866,55.09530865993583,52.30931274458999,53.247566272323795,56.70024920591929,56.943349844153666
31,LOWER WEST SIDE,49.90673368326699,49.64046898069792,56.80585152165033,55.95698700447567,54.205183103571954,53.746605685989685,59.40718050982182,58.16755402684833
33,NEAR SOUTH SIDE,52.898991842249714,54.24493719052445,67.6408396201961,68.46594662880757,64.70566485846027,65.61337741802835,70.5754050435995,71.31630248126108
34,ARMOUR SQUARE,48.90024189582949,48.22211381292746,60.45370465828843,61.55376723241487,58.01885260212546,59.239238586243786,62.88871029139613,63.86995491086816
10,NORWOOD PARK,63.5705,65.258,77.57066666666667,77.7055,75.882,76.05300000000001,79.25966666666666,79.35816666666666
8,NEAR NORTH SIDE,52.83166972438968,55.362254076561165,70.48936449203956,71.27299619001705,67.58534949637578,68.78894776913172,73.39317431554144,73.75559553178114
32,LOOP,52.97934533398909,54.37202496323191,67.79453431696516,68.61265577660019,64.84916179496251,65.75086268632072,70.73928445440116,71.47216243111178
43,SOUTH SHORE,48.60221413374608,49.884664057950914,51.21570526669311,50.59293057152585,48.867334627349805,48.57009527245615,53.564405639460304,52.616702603304354
44,CHATHAM,45.696802321871125,46.67825175569703,48.17268120245387,46.56757999333243,46.56732246985038,44.2002928269282,49.77845120094716,48.93507549305757
45,AVALON PARK,50.12942355463558,51.908416062584514,54.80508561292569,54.26783628465986,52.2397551111308,52.338761730486226,57.37062459825901,56.19711917216134
46,SOUTH CHICAGO,50.13270833333333,51.91229166666667,54.81,54.27354166666667,52.24395833333333,52.34479166666667,57.37625,56.20250000000001
47,BURNSIDE,49.946766241022516,51.6941657309661,54.535183428304016,53.95537986140587,52.009337847883096,52.008665794951426,57.06124480671132,55.90230329144019
59,MCKINLEY PARK,48.64791666666667,47.933125,60.516875,61.695625,58.12729166666667,59.44854166666667,62.906666666666666,63.944583333333334
6,LAKE VIEW,62.699999999999996,62.6675,63.161458333333336,64.361875,61.190416666666664,62.495000000000005,65.13333333333334,66.22854166666666
48,CALUMET HEIGHTS,50.13270833333333,51.91229166666667,54.81,54.27354166666667,52.24395833333333,52.34479166666667,57.37625,56.20250000000001
49,ROSELAND,46.98142116112014,48.99883730094879,53.609950465671716,53.512506559553245,52.089532164602225,51.72763604130596,55.1299511395519,55.298647983477764
5,NORTH CENTER,62.699908863177235,62.66727934634187,63.16104419000468,64.36142252069153,61.18997067900215,62.494559160064355,65.13295105784589,66.2280777207452
50,PULLMAN,45.275448652139794,47.7239001473466,51.670217119351,51.721804438147316,50.06737875826492,49.82013405201447,53.272222287616444,53.62493298901401
51,SOUTH DEERING,50.082290733925184,51.86881623740308,54.77740805302262,54.247053174193134,52.22136379641519,52.31858436601373,57.33364983278482,56.17574328788984
